1012	24200
151	12093
2	9809
5522	9648
28659	8487
3	6715
51882	5046
4280	5012
43065	4914
5	4420
69019	4399
35671	4033
983	3961
40310	3778
39570	3717
10	3546
42569	3282
66741	3225
2044	3160
8998	2566
9397	2565
41764	2447
1425	2315
46845	2283
9926	2229
52292	2140
40134	2101
17635	2090
44408	2068
41700	2017
85559	2008
44880	1969
72076	1942
286	1822
70448	1767
57869	1753
204	1690
40490	1670
1313	1668
3898	1667
44419	1663
130	1660
12273	1644
1578	1596
48106	1592
537	1590
66460	1562
51034	1552
672	1533
71808	1523
48845	1488
62065	1481
20115	1458
8160	1449
49	1441
40263	1412
55635	1410
69653	1378
63208	1376
11034	1365
2722	1362
43888	1337
9987	1306
9096	1293
570	1291
5555	1287
49708	1282
40802	1265
43280	1264
71642	1240
14921	1231
67314	1226
43974	1223
23464	1216
61371	1208
7553	1204
55266	1179
105256	1177
11939	1162
52076	1151
3371	1146
3245	1133
89243	1116
24557	1116
44480	1109
42939	1101
34372	1100
35009	1098
39985	1089
2650	1071
8183	1062
7	1061
66008	1059
28933	1053
44157	1033
46065	1028
40513	1027
69165	1026
54298	1023
4353	1022
50170	1018
1434	1011
69059	978
70879	969
71640	949
48088	942
1258	937
48613	935
46523	924
12060	924
8316	908
52324	904
1612	903
60621	901
62801	899
71259	896
54468	890
11207	888
5139	874
80976	874
9215	872
71485	866
58792	856
76170	856
48301	853
76357	849
66820	847
65999	845
6906	839
9047	832
11528	828
38598	827
6534	826
66715	824
54692	815
39579	810
88	796
3497	792
64951	790
42293	789
61728	780
40940	776
52707	769
2211	767
68096	766
97452	762
34758	762
4507	759
33922	758
405	756
71844	755
2612	753
24332	747
48162	746
48516	745
79	745
1652	744
9137	744
54251	742
43326	740
9564	738
102229	730
81692	724
98767	721
63778	721
48133	717
36216	713
48960	706
65459	704
10519	702
61159	702
75730	701
56337	699
45003	696
38196	691
39519	689
6496	685
63332	674
3276	671
45068	667
68415	664
54253	661
38744	659
48321	655
59670	650
931	649
8604	648
47	646
27326	645
51424	642
9628	641
68573	637
39794	637
51691	630
40437	628
8078	624
76733	623
45708	621
48338	621
90823	616
7167	611
49034	607
75843	607
39151	606
41323	605
17277	603
69266	603
48281	602
51179	600
50270	595
470	591
55233	588
9820	588
54525	587
73467	586
36814	584
63811	584
62343	582
41804	582
45584	581
39583	580
103372	576
64245	572
61996	570
60210	568
997	567
42491	567
66446	567
40472	566
43066	566
49296	563
37457	562
53611	562
40380	562
6038	560
3744	558
63317	557
39177	557
77298	556
50297	554
4098	554
38848	552
62308	548
76224	547
71021	545
1956	535
63790	533
59497	533
64367	531
22	529
40624	529
64368	528
27730	527
39683	526
67509	525
41893	524
42976	522
39632	520
54921	519
68553	518
1359	516
759	512
3975	511
89694	507
40100	505
53207	503
42994	503
67547	500
40291	499
25	498
2338	497
33668	492
51021	491
39383	491
48948	486
14214	486
45095	485
12773	482
9112	482
1014	481
8	480
23360	480
52971	480
67081	477
85308	476
99756	474
48984	469
46476	469
96741	467
39275	467
72785	466
88416	466
48590	465
22756	463
66797	461
79805	460
68405	455
104221	455
39798	455
30821	455
39356	451
39336	451
69683	450
81906	448
9604	447
54862	447
70318	446
14631	445
3417	444
25541	443
41503	442
1499	438
5001	438
46607	437
39919	437
81209	437
52482	436
47050	430
66729	430
82217	429
47600	429
68778	428
10986	428
87292	428
74324	428
52190	423
43051	422
99573	422
68292	422
50883	421
54714	421
44920	420
45168	420
50681	419
2300	419
1	418
51415	416
63783	414
78591	414
39930	411
87651	409
93	409
4091	408
59847	408
42901	408
45575	407
76061	407
45036	406
59356	405
57692	405
43436	404
69439	402
45569	401
64144	398
9841	398
41259	397
644	397
12744	396
64387	396
77355	395
47196	395
13015	394
38617	394
1477	394
3904	394
39539	393
42942	393
28297	393
1921	391
65447	390
31386	390
58209	390
14793	389
7079	389
7588	389
40282	388
88295	388
63850	388
65837	386
41463	386
3656	385
20670	384
72098	384
20506	384
9870	383
74700	382
45605	382
58438	381
69035	381
81864	380
84761	380
66162	380
23694	377
58521	377
766	374
82665	373
42121	373
85651	371
80409	370
66018	369
68051	368
73970	367
10906	366
1559	366
67227	364
11136	364
49630	364
40442	364
46487	364
61504	363
48255	362
11343	362
61778	360
48337	360
55294	360
2231	359
40253	359
42192	358
40053	358
975	357
46713	356
14970	356
97186	356
87612	356
22313	355
39193	355
65961	354
4923	353
58547	352
86565	351
16478	351
776	350
84035	350
48025	349
63281	349
50199	349
12869	349
50154	349
64693	347
90528	347
53015	347
82894	347
71624	346
29687	345
48339	345
66912	345
6791	345
73347	344
51339	344
3999	344
96988	344
97984	343
76227	342
71459	342
39055	342
43966	339
67993	339
61284	339
62170	338
49754	338
55373	337
11166	337
18189	336
47668	336
19397	336
71178	335
1898	335
40496	334
73112	334
40236	334
40715	334
60723	334
3644	332
43610	332
10320	331
77666	331
48932	330
71823	330
41187	330
63574	330
24165	330
67948	329
7471	329
53596	329
74381	327
51532	327
91630	326
6597	326
99449	326
51782	326
39415	326
45234	326
44852	325
73235	323
87621	323
41510	323
95166	323
86546	323
60299	322
38777	322
81219	321
103252	321
92887	320
55244	320
50416	320
39746	318
44988	318
24918	317
43700	317
43938	317
60425	316
275	316
63036	315
8442	313
28488	313
65535	313
28202	312
85540	312
50775	312
1969	312
40275	312
10845	311
12041	310
1392	310
39975	309
62355	309
47757	309
61274	309
39915	308
43920	308
42915	308
69311	307
51	306
87700	305
73141	305
68223	305
58102	304
15096	302
24790	301
48791	300
42646	300
9074	300
12386	299
83622	298
44593	298
48639	298
140	297
3200	297
40431	296
302	296
44595	295
61616	295
45256	295
63504	294
77577	294
58621	294
69740	294
2807	293
12642	293
77514	292
81667	292
57376	291
37466	290
49981	290
60361	290
40951	290
8052	289
64148	289
39233	289
12062	288
37719	288
54219	287
59096	287
44755	285
26484	285
68760	285
48250	285
52837	285
39036	284
43301	284
38348	284
47029	284
40948	283
87873	282
49170	282
63454	282
40171	281
19717	281
68959	281
65677	281
76536	281
11615	281
6043	280
70881	280
43902	280
623	279
